Nombre,Grupo,Perfil,Habilitado,Acción,Invalidar,Programa,Dirección local,Dirección remota,Protocolo,Puerto local,Puerto remoto,Usuarios permitidos,Equipos permitidos,,,,,,,,,,,,,,,,
SoftEther VPN Client Connection Manager,,Todo,Sí,Permitir,No,C:\Program Files\SoftEther VPN Client\vpncmgr_x64.exe,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
SoftEther VPN Command-Line Admin Tool,,Todo,Sí,Permitir,No,C:\Program Files\SoftEther VPN Client\vpncmd_x64.exe,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
SoftEther VPN Command-Line Admin Tool,,Todo,Sí,Permitir,No,C:\Program Files\SoftEther VPN Client\vpncmd.exe,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
Steam,,Todo,Sí,Permitir,No,D:\Program Files (x86)\Steam\steam.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
Steam,,Todo,Sí,Permitir,No,D:\Program Files (x86)\Steam\steam.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
Steam,,Privado,Sí,Permitir,No,C:\Program Files (x86)\Steam\Steam.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
Steam,,Privado,Sí,Permitir,No,C:\Program Files (x86)\Steam\Steam.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
Steam Web Helper,,Todo,Sí,Permitir,No,D:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
Steam Web Helper,,Todo,Sí,Permitir,No,D:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
tftpsrv,,Privado,Sí,Bloquear,No,D:\ar430w\tftpsrv.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
tftpsrv,,Privado,Sí,Bloquear,No,D:\ar430w\tftpsrv.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
ugsplatform64,,Privado,Sí,Permitir,No,D:\cnc stuff\grbl-apps(nojava)\ugs-platform-app-2.0-snapshot-win\ugsplatform-win\bin\ugsplatform64.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
ugsplatform64,,Privado,Sí,Permitir,No,D:\cnc stuff\grbl-apps(nojava)\ugs-platform-app-2.0-snapshot-win\ugsplatform-win\bin\ugsplatform64.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
Unity Hub,,Privado, Público,Sí,Permitir,No,C:\program files\unity hub\unity hub.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
